LED #,LED PWM (%),LED current (%),Duration (s)
11,100,100,0.5
12,100,100,0.5
1,0,0,1
1,100,100,0.5
2,100,100,0.5
3,100,100,0.5
4,100,100,0.5
5,100,100,0.5
6,100,100,0.5
7,100,100,0.5
8,100,100,0.5
9,100,100,0.5
10,100,100,0.5
11,100,100,0.5
12,100,100,0.5
1,0,0,1
1,100,100,0.5
2,100,100,0.5
3,100,100,0.5
4,100,100,0.5
5,100,100,0.5
6,100,100,0.5
7,100,100,0.5
8,100,100,0.5
9,100,100,0.5
10,100,100,0.5
11,100,100,0.5
12,100,100,0.5
1,0,0,1
1,100,100,0.5
2,100,100,0.5
3,100,100,0.5
4,100,100,0.5
5,100,100,0.5
6,100,100,0.5
7,100,100,0.5
8,100,100,0.5
9,100,100,0.5
10,100,100,0.5
11,100,100,0.5
12,100,100,0.5
1,0,0,1
1,100,100,0.5
2,100,100,0.5
3,100,100,0.5
4,100,100,0.5
5,100,100,0.5
6,100,100,0.5
7,100,100,0.5
8,100,100,0.5
9,100,100,0.5
10,100,100,0.5
11,100,100,0.5
12,100,100,0.5
1,0,0,1
1,100,100,0.5
2,100,100,0.5
3,100,100,0.5
4,100,100,0.5
5,100,100,0.5
6,100,100,0.5
7,100,100,0.5
8,100,100,0.5
9,100,100,0.5
10,100,100,0.5
11,100,100,0.5
12,100,100,0.5
1,0,0,1
1,100,100,0.5
2,100,100,0.5
3,100,100,0.5
4,100,100,0.5
5,100,100,0.5
6,100,100,0.5
7,100,100,0.5
8,100,100,0.5
9,100,100,0.5
10,100,100,0.5
11,100,100,0.5
12,100,100,0.5
1,0,0,1
1,100,100,0.5
2,100,100,0.5
3,100,100,0.5
4,100,100,0.5
5,100,100,0.5
6,100,100,0.5
7,100,100,0.5
8,100,100,0.5
9,100,100,0.5
10,100,100,0.5
11,100,100,0.5
12,100,100,0.5
1,0,0,1
1,100,100,0.5
2,100,100,0.5
3,100,100,0.5
4,100,100,0.5
5,100,100,0.5
6,100,100,0.5
7,100,100,0.5
8,100,100,0.5
9,100,100,0.5
10,100,100,0.5
11,100,100,0.5
12,100,100,0.5
1,0,0,1
1,100,100,0.5
2,100,100,0.5
3,100,100,0.5
4,100,100,0.5
5,100,100,0.5
6,100,100,0.5
7,100,100,0.5
8,100,100,0.5
9,100,100,0.5
10,100,100,0.5
11,100,100,0.5
12,100,100,0.5
1,0,0,1
1,100,100,0.5
2,100,100,0.5
3,100,100,0.5
4,100,100,0.5
5,100,100,0.5
6,100,100,0.5
7,100,100,0.5
8,100,100,0.5
9,100,100,0.5
10,100,100,0.5
11,100,100,0.5
12,100,100,0.5
1,0,0,1
1,100,100,0.5
2,100,100,0.5
3,100,100,0.5
4,100,100,0.5
5,100,100,0.5
6,100,100,0.5
7,100,100,0.5
8,100,100,0.5
9,100,100,0.5
10,100,100,0.5
11,100,100,0.5
12,100,100,0.5
1,0,0,1
1,100,100,0.5
2,100,100,0.5
3,100,100,0.5
4,100,100,0.5
5,100,100,0.5
6,100,100,0.5
7,100,100,0.5
8,100,100,0.5
9,100,100,0.5
10,100,100,0.5
11,100,100,0.5
12,100,100,0.5
1,0,0,1
1,100,100,0.5
2,100,100,0.5
3,100,100,0.5
4,100,100,0.5
5,100,100,0.5
6,100,100,0.5
7,100,100,0.5
8,100,100,0.5
9,100,100,0.5
10,100,100,0.5
11,100,100,0.5
12,100,100,0.5
1,0,0,1
1,100,100,0.5
2,100,100,0.5
3,100,100,0.5
4,100,100,0.5
5,100,100,0.5
6,100,100,0.5
7,100,100,0.5
8,100,100,0.5
9,100,100,0.5
10,100,100,0.5
11,100,100,0.5
12,100,100,0.5
1,0,0,1
1,100,100,0.5
2,100,100,0.5
3,100,100,0.5
4,100,100,0.5
5,100,100,0.5
6,100,100,0.5
7,100,100,0.5
8,100,100,0.5
9,100,100,0.5
10,100,100,0.5
11,100,100,0.5
12,100,100,0.5
1,0,0,1
1,100,100,0.5
2,100,100,0.5
3,100,100,0.5
4,100,100,0.5
5,100,100,0.5
6,100,100,0.5
7,100,100,0.5
8,100,100,0.5
9,100,100,0.5
10,100,100,0.5
11,100,100,0.5
12,100,100,0.5
1,0,0,1
